Ensembl_id                BasalPD39  	BasalPD36	  BasalPD33	  BasalPD30	  BasalPD27	  PDTrain21	  PDTrain17	   PDTrain13	  PDTrain09 	PDTrain05
ENSG00000170525	1547.520673	2694.577118	2586.829566	5450.659693	1171.834142	642.6957022	1562.611189	937.0459381	738.3562465	599.7644376
ENSG00000198039	64.44374215	68.46289985	179.6545771	32.87490768	57.23879026	51.53691952	65.19786768	50.78395818	31.41941474	10.93795327
ENSG00000174938	13.93378209	10.21834326	16.68922301	5.635698459	8.325642219	32.58952264	30.99570759	24.57288299	42.21983856	20.05291433
ENSG00000171617	88.8278608	128.7511251	198.3072381	127.7424984	483.927954	41.68427314	66.26668519	62.25130358	59.89325935	69.27370404
ENSG00000120658	29.60928693	31.67686411	57.92142102	9.392830765	39.54680054	7.578958753	9.619357527	18.83921029	14.72785066	5.468976635
ENSG00000169885	1330.676189	2090.673031	1825.015622	854.7475996	964.7337922	103.8317349	86.57421774	208.0504093	463.4363675	734.6658613
ENSG00000180875	52.25168282	26.56769248	426.0660462	21.60351076	286.1939513	15.91581338	58.78496266	12.2864415	14.72785066	30.9908676
ENSG00000124107	54.86426696	29.63319546	2.945157001	16.90709538	26.01763194	19.70529276	3.206452509	13.9246337	7.854853686	1.822992212
ENSG00000237372	25.25498003	12.26201191	51.04938802	30.05705845	22.8955161	6.063167002	9.619357527	5.733672698	0.981856711	21.87590654
ENSG00000214970	108.8576725	33.72053276	196.3438001	31.9356246	145.6987388	13.64212576	55.57851016	38.49751669	32.40127145	18.22992212
ENSG00000124749	32.22187107	176.7773384	63.81173502	111.7746861	46.83173748	39.41058552	28.85807258	37.67842059	45.16540869	16.4069299
ENSG00000115226	13.93378209	3.065502979	24.54297501	17.84637845	32.2618636	20.46318863	25.65162007	15.5628259	27.4919879	80.21165731
ENSG00000156463	1306.292071	429.170417	1635.543855	583.2947905	1139.572279	607.0745961	553.6474666	468.5229691	344.6317055	315.3776526
ENSG00000065361	80.99010838	75.61574014	414.2854181	22.54279384	49.95385332	46.98954427	25.65162007	44.23118939	20.61899093	12.76094548
ENSG00000120129	2042.169937	5599.652107	1458.834435	2502.250116	1714.041592	1031.496286	758.8604271	842.8498866	806.1043595	612.5253831
ENSG00000179796	22.64239589	90.94325503	230.7039651	190.6744645	38.50609526	5.305271127	69.47313769	18.02011419	4.909283554	3.645984423
ENSG00000082293	26.12584141	52.11355064	31.41500801	16.90709538	22.8955161	11.36843813	13.89462754	13.9246337	3.927426843	7.291968846
ENSG00000110218	168.0762464	144.07864	220.8867751	222.6100891	862.744675	289.5162244	1107.294933	520.1260233	415.3253886	1046.397529
ENSG00000164089	7.837752423	3.065502979	14.72578501	30.99634152	23.93622138	28.80004326	34.2021601	46.68847769	32.40127145	47.3977975
ENSG00000164509	14.80464347	20.43668652	14.72578501	52.59985228	42.66891637	26.52635564	85.50540024	66.34678408	34.36498488	96.61858721
ENSG00000224609	35.7053166	27.58952681	40.25047901	12.21067999	135.2916861	11.36843813	7.481722521	20.47740249	3.927426843	23.69889875
ENSG00000101098	40.93048488	20.43668652	8.835471003	44.14630459	71.80866414	19.70529276	7.481722521	37.67842059	21.60084764	3.645984423
