""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000116991"	597.794178822479	2.56003532773003	0.46151445222358	5.5470317676852	2.90559965953069e-08	6.77879186656574e-07
"ENSG00000242114"	69.8402736070057	2.21883690972597	0.406150781449148	5.46308664434707	4.67926064056953e-08	6.77879186656574e-07
"ENSG00000134871"	2638.00184611504	2.11205518533938	0.386680300727353	5.46201909268863	4.70749435178176e-08	6.77879186656574e-07
"ENSG00000119125"	26.5430738027462	-1.7988558354119	0.546319128367586	-3.29268323587153	0.000992362099851588	0.0032477305086052
"ENSG00000047662"	109.768340831359	-1.1444656692232	0.489963848468917	-2.3358165562613	0.0195008043577855	0.0438768098050175
"ENSG00000138411"	97.5561560936159	1.80054872067417	0.348107130798341	5.17239826873075	2.31108330512764e-07	2.37711425670271e-06
"ENSG00000187498"	2147.61578497427	2.18681082053684	0.409178478645223	5.34439354625224	9.07202729084756e-08	1.08864327490171e-06
"ENSG00000179044"	64.2089728048668	1.87303140528578	0.429995583611552	4.35593172737755	1.32502074742202e-05	6.81439241531323e-05
"ENSG00000078549"	43.7057222473758	1.87169391743753	0.44816648507926	4.17633620485145	2.96241878875377e-05	0.00013330884549392
"ENSG00000099308"	156.733425145321	-1.26512878565211	0.363448934663136	-3.48089831883727	0.000499735164447801	0.00179904659201208
"ENSG00000101306"	8066.9429919781	-0.506119791610452	0.425830197532948	-1.18854838041703	0.234617430927039	0.298516837285759
"ENSG00000101695"	36.9565455738951	1.97921915379948	0.421470184609896	4.6959885326916	2.65320426304111e-06	1.73664279035418e-05
"ENSG00000155158"	37.0462013067093	-0.458853831564437	0.390661886281687	-1.17455489690023	0.24017283688163	0.298516837285759
"ENSG00000166592"	1535.26561676348	-0.245862194499125	0.406918756079168	-0.604204625188845	0.545707606274107	0.581343899772971
"ENSG00000229729"	14.654388625672	-0.867173567959225	0.506938638141194	-1.71060854848018	0.0871533998557521	NA
"ENSG00000143994"	109.284452202365	1.96055329195486	0.442570787129693	4.42992024997874	9.42679424041916e-06	5.22099373315523e-05
"ENSG00000128655"	216.57441784124	-0.376096230911822	0.411458476244989	-0.914056344990418	0.360687239665256	0.418862600901588
"ENSG00000114812"	47.4225220416151	1.7071247166301	0.427708372163341	3.99132873643668	6.57041287829217e-05	0.000278276310139433
"ENSG00000127324"	106.56971760408	-0.76211503558277	0.478085728597541	-1.59409702067122	0.110914306131252	0.166371459196878
"ENSG00000171840"	226.5289919904	2.15595552905574	0.439517138241907	4.90528205038756	9.32931816469762e-07	7.46345453175809e-06
"ENSG00000138131"	116.355994714902	-0.758935349324011	0.390291523969111	-1.94453454076055	0.0518310243406058	0.0956880449365031
"ENSG00000121900"	22.5713153239794	-0.287192537988169	0.45877611879409	-0.625997139395713	0.53131681763255	0.579618346508237
"ENSG00000110697"	335.929765237184	2.44227031846559	0.316117447985411	7.72583207295253	1.11125045447751e-14	8.00100327223805e-13
"ENSG00000139209"	112.404766313159	-0.647438884125644	0.436493787721303	-1.48327170360332	0.138002237161606	0.198723221512713
"ENSG00000138379"	52.8497430525968	-1.02345506737584	0.538421254723296	-1.90084447520893	0.0573223866468416	0.100663703379819
"ENSG00000173200"	27.5944004572649	-0.708930479580754	0.538405808437539	-1.31672145521253	0.187932009160701	0.25530386150133
"ENSG00000120738"	262.46504438574	-1.47398501941604	0.523880178823749	-2.81359188417002	0.00489913827323979	0.0141095182269306
"ENSG00000109061"	113113.124570923	-0.995305314424315	0.476279525776293	-2.08975036834106	0.0366402298520741	0.0732804597041483
"ENSG00000115592"	1076.75915541148	-0.254453381100568	0.429660798195765	-0.592219216109709	0.553703803266974	0.581343899772971
"ENSG00000188580"	24.5215088335104	-0.273102891296874	0.465154635948104	-0.587122797863169	0.55712123728243	0.581343899772971
"ENSG00000181322"	32.5777480838648	-0.637765629770721	0.558259972264656	-1.14241690512673	0.253280767668963	0.309088394443481
"ENSG00000170345"	459.621046576401	-3.81686148659024	0.651125366104443	-5.86194561797796	4.57474864256356e-09	1.64690951132288e-07
"ENSG00000253389"	69.4803841255353	-0.403128768630336	0.468169743672468	-0.861073946103543	0.389197317630927	0.437846982334793
"ENSG00000081181"	51.384721773259	-1.41075455492943	0.539651625577403	-2.61419495108532	0.00894379873377603	0.0238501299567361
"ENSG00000089101"	376.001415497853	-1.19320155492787	0.530500806320612	-2.24919838143799	0.0244998774105877	0.0534542779867367
"ENSG00000163710"	31.2337581497629	-0.753810685548709	0.47107719750538	-1.60018504300476	0.10955753922652	0.166371459196878
"ENSG00000185274"	41.1262690897253	-0.727854188228396	0.505151840213293	-1.44086219288258	0.149623618913379	0.207171164649294
"ENSG00000082684"	33.5917315471898	2.53403427828093	0.586544383388181	4.32027711806403	1.55833381102631e-05	7.48000229292627e-05
"ENSG00000162552"	36.4004523751478	-0.813483626390729	0.508328362988225	-1.60031130588236	0.109529539979933	0.166371459196878
"ENSG00000170525"	1682.52179974408	-0.898831539760865	0.488026190210123	-1.84176906443047	0.0655089369420023	0.112301034757718
"ENSG00000198039"	57.6137485231289	-0.208153281671533	0.522961896514598	-0.398027625069474	0.690609822639464	0.690609822639464
"ENSG00000174938"	23.9855462654518	2.21438138174784	0.467958688047076	4.73200185894418	2.2231637674767e-06	1.60067791258323e-05
"ENSG00000171617"	116.505993939506	-0.89567596564191	0.467014737821204	-1.9178751613291	0.0551268424427376	0.0992283163969278
"ENSG00000120658"	19.9905537100633	-0.802000515038703	0.536665414872788	-1.49441438336177	0.135067344456019	0.198466302057824
"ENSG00000169885"	780.215716118014	-1.18884821631383	0.596667023057419	-1.99248185398612	0.0463182142184322	0.0877608269401874
"ENSG00000180875"	78.7152474666082	-1.72991288366992	0.728101396701172	-2.37592303971354	0.0175051134480742	0.0411300865780985
"ENSG00000124107"	16.1410906683049	-0.74766500623384	0.703154866365543	-1.06330062123919	0.287645643547722	NA
"ENSG00000237372"	18.0605631073917	-0.729156108898114	0.683549374481408	-1.06672046836603	0.286098081480509	0.343317697776611
"ENSG00000214970"	59.6595266119082	-0.94264726898986	0.550387554630356	-1.71269728223224	0.086768245396026	0.138829192633642
"ENSG00000124749"	54.9848906014726	-0.638506027073318	0.500240331387524	-1.27639853688383	0.201814673190648	0.269086230920864
"ENSG00000115226"	32.6684139467921	1.84204272432095	0.645640677834834	2.85304626483304	0.00433023167996902	0.0129906950399071
"ENSG00000156463"	697.126167252885	-0.379204023712017	0.428443255415376	-0.885074088386288	0.376116673631051	0.429847627006915
"ENSG00000065361"	69.3713582713449	-1.34577012431371	0.649209691337622	-2.07293597472476	0.0381782384807742	0.07429278839502
"ENSG00000120129"	1558.30141398612	-0.925576961931033	0.41464029549916	-2.23224074451516	0.025599055853692	0.0542097653372301
"ENSG00000179796"	59.1042880013065	-1.86199738670845	0.758484550978101	-2.45489164453952	0.0140927059792955	0.0362383868039028
"ENSG00000082293"	17.9541629277883	-0.776302729303321	0.519388456050504	-1.4946476385063	0.135006426372155	NA
"ENSG00000110218"	597.172448558223	2.00863542423577	0.558034255087003	3.59948409246419	0.000318849136595042	0.00127539654638017
"ENSG00000164089"	32.5291547702922	2.01645066333841	0.56771093676669	3.55189680653819	0.000382464825265588	0.00144934039048012
"ENSG00000164509"	55.4818762763602	1.93300506162643	0.560036280718327	3.45157113597546	0.000557332819049314	0.00191085537959765
"ENSG00000224609"	27.7303957704758	-0.938680668638219	0.649481043606566	-1.44527800753926	0.148379812697716	0.207171164649294
"ENSG00000101098"	25.6721239168552	-0.312247746087142	0.615441752521768	-0.507355480527132	0.611905416961277	0.620523803115661
"ENSG00000154096"	92.4172394000028	2.42556088195683	0.484140368051262	5.01003643162431	5.44197325093064e-07	4.89777592583757e-06
"ENSG00000138755"	34.1504487402188	1.75462488381316	0.649376609956328	2.70201429634363	0.00689207988673435	0.0190857596863413
"ENSG00000162772"	217.176926779977	-1.5061818160234	0.62409284226642	-2.41339383184342	0.0158047316293354	0.039239333700419
"ENSG00000140557"	45.9996351818031	2.83537256613281	0.627598284744395	4.51781439665277	6.24812146306839e-06	3.74887287784103e-05
"ENSG00000153234"	68.9139055808689	-0.875105989921671	0.506744193963889	-1.726918631423	0.0841822778242562	0.137752818257874
"ENSG00000168542"	2491.04609327039	1.49679221945685	0.518811072492589	2.8850429353129	0.0039136028381138	0.0122512784497476
"ENSG00000171246"	17.4169964509737	-1.10405766275912	0.677455210690492	-1.62971314610426	0.103162137628995	NA
"ENSG00000116690"	34.3011031416268	-0.336334567269171	0.642955379153604	-0.523107167579696	0.600899677906863	0.618068240132773
"ENSG00000265356"	24.1029977922048	-0.906376911442857	0.772167875902067	-1.17380810537346	0.240471896702417	0.298516837285759
"ENSG00000159388"	4344.60560886187	-1.07789147713383	0.502406602123891	-2.14545643424492	0.0319163711075857	0.0656565348498906
"ENSG00000162783"	1101.59922980627	-0.902256290402594	0.496382492034404	-1.81766340449425	0.0691155943092316	0.1157284369829
